#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_491			Bigyra	Nanomonadea			
ASV_492			Dinophyceae				
ASV_498							
ASV_501			Dinophyceae				
ASV_503							
ASV_505							
ASV_509			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_512		Haptophyta					
ASV_518			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_519		Bacillariophyta	Fragilariophyceae	Rhaponeidales	Rhaphoneidaceae	Rhaphoneis	
ASV_524		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
ASV_525			Dinophyceae				
ASV_526		Haptophyta					
ASV_528			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
ASV_539			Dinophyceae				
ASV_542		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	
ASV_554							
ASV_555							
ASV_563			Dinophyceae				
ASV_571		Ciliophora	Litostomatea	Haptorida	Didiniidae	Cyclotrichium	
ASV_572			Dinophyceae	Syndiniales			
ASV_573			Bigyra	Nanomonadea			
ASV_575		Euglenozoa	Diplonemea				
ASV_576	Metazoa	Chordata					
ASV_580		Ciliophora	Spirotrichea	Choreotrichida			
ASV_582				Telonemida		Telonema	
ASV_585			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Geminigera	
ASV_593		Ciliophora					
ASV_597			Dinophyceae				
ASV_598	Metazoa	Arthropoda					
ASV_599		Cercozoa					
ASV_600		Picozoa					
ASV_602	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	
ASV_603							
ASV_604		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_606			Dinophyceae				
ASV_608		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_611		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_622			Dinophyceae				
