ASV,Davenport_02_0008,Davenport_06_0008,Davenport_11_0008,Davenport_15_0008,Davenport_19_0008,Framstrait_01_0008,Framstrait_05_0008,Framstrait_09_0008,Framstrait_13_0008,Framstrait_17_0008,Bedford_01_0049,Bedford_07_0049,Bedford_13_0049,Bedford_19_0049,Bedford_25_0049,blank_01_0049,bloomMock_01_0049,bloomMock_02_0049,bloomMock_03_0049,bloomMock_04_0049,bloomMock_05_0049,Davenport_02_0049,Davenport_06_0049,Davenport_11_0049,Davenport_15_0049,Davenport_19_0049,evenMock_01_0049,evenMock_02_0049,evenMock_03_0049,evenMock_04_0049,evenMock_05_0049,evenMock_A_0049,evenMock_B_0049,evenMock_C_0049,evenMock_D_0049,evenMock_E_0049,evenMock_F_0049,evenMock_G_0049,evenMock_H_0049,Framstrait_01_0049,Framstrait_05_0049,Framstrait_09_0049,Framstrait_13_0049,Framstrait_17_0049,LaJolla_03_0049,LaJolla_09_0049,LaJolla_15_0049,LaJolla_21_0049,LaJolla_27_0049,Plymouth_06_0049,Plymouth_13_0049,Plymouth_19_0049,Plymouth_29_0049,Plymouth_30_0049,cj-BMk13,cj-BMk15,cj-BMk17,cj-BMk21,cj-BMk25,cj-DAL03,cj-DAL09,cj-DAL15,cj-DAL21,cj-DAL27,cj-EMk03,cj-EMk08,cj-EMk09,cj-EMk15,cj-EMk17,cj-MBA03,cj-MBA07,cj-MBA12,cj-MBA16,cj-MBA20,cj-NOAA07,cj-NOAA13,cj-NOAA18,cj-NOAA24,cj-NOAA30,cj-ROS01,cj-ROS05,cj-ROS09,cj-ROS13,cj-ROS17,cj-SOC05,cj-SOC12,cj-SOC18,cj-SOC24,cj-SOC28,CN18Sc37_12_Rep_Stdy5_AO,CN18Sc37_12_Rep_Stdy10_AO,CN18Sc37_12_Rep_Stdy14_AO,CN18Sc37_12_Rep_Stdy18_AO,CN18Sc37_12_Rep_Stdy22_AO,NOAA11_AO,NOAA14_AO,NOAA20_AO,AWIMOCKBLOOM7_AO,AWIMOCKBLOOM8_AO,AWIMOCKBLOOM16_AO,AWIMOCKBLOOM18_AO,AWIMOCKBLOOM28_AO,NOC2_AO,NOC9_AO,NOC12_AO,NOC31_AO,NOC51_AO,UDalhousie2_AO,UDalhousie8_AO,UDalhousie14_AO,UDalhousie20_AO,UDalhousie26_AO,AWIMOCKEVEN1_AO,AWIMOCKEVEN2_AO,AWIMOCKEVEN3_AO,AWIMOCKEVEN4_AO,AWIMOCKEVEN5_AO
ASV_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,53.0,42.0,47.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10359.0,19098.0,5111.0,7928.0,14417.0,3233.0,3685.0,2479.0,3027.0,2969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_22,3098.0,4353.0,3649.0,5356.0,7988.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,4.0,4.0,0.0,1.0,90.0,0.0,0.0,1.0,11389.0,14391.0,8200.0,5375.0,8009.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,6.0,5.0,7.0,3.0,5.0,29.0,39.0,25.0,21.0,36.0,36.0,34.0,45.0,43.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,337.0,268.0,189.0,232.0,1003.0,6116.0,6722.0,7064.0,4176.0,6964.0,8.0,10.0,10.0,29.0,41.0,7640.0,7701.0,6201.0,8803.0,7351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,96.0,62.0,37.0,39.0,67.0,36.0,80.0,54.0,96.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6224.0,5039.0,6647.0,6267.0,5474.0,0.0,0.0,6.0,2.0,7.0,7.0,2.0,5.0,5.0,12.0,7489.0,8841.0,8188.0,7731.0,8428.0
ASV_25,12.0,11.0,9.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,45.0,7.0,3.0,18.0,1093.0,5470.0,6276.0,5808.0,4386.0,6227.0,28.0,27.0,36.0,80.0,43.0,8262.0,7792.0,6808.0,9286.0,7972.0,43.0,32.0,38.0,42.0,31.0,31.0,49.0,12.0,2.0,0.0,6.0,2.0,0.0,29.0,30.0,25.0,17.0,7.0,26.0,54.0,37.0,40.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,1.0,1.0,5.0,1.0,149.0,1661.0,271.0,14.0,4.0,0.0,2.0,3.0,2172.0,1381.0,3089.0,58746.0,1780.0,5.0,0.0,5.0,3.0,5.0,0.0,10.0,1.0,0.0,0.0
ASV_27,2307.0,2519.0,3371.0,6426.0,8226.0,441.0,333.0,77.0,170.0,125.0,9.0,10.0,9.0,8.0,5.0,0.0,2.0,118.0,3.0,1.0,1.0,9126.0,8353.0,8205.0,6786.0,9582.0,12.0,6.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,11.0,16.0,452.0,543.0,311.0,260.0,292.0,155.0,158.0,53.0,71.0,132.0,29.0,33.0,24.0,37.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,403.0,96.0,230.0,83.0,221.0,240.0,44.0,3.0,2.0,5.0,12.0,4.0,1443.0,8655.0,399.0,509.0,5908.0,4614.0,12317.0,11751.0,12098.0,9506.0,7.0,4.0,12.0,20.0,16.0
ASV_29,0.0,1.0,28.0,80.0,10.0,25667.0,59.0,1.0,2349.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,7.0,16.0,4.0,1.0,68.0,65.0,10.0,22.0,21.0,22.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,24408.0,97.0,4.0,3524.0,7932.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASV_30,1.0,5.0,3.0,35.0,3.0,3857.0,4201.0,1040.0,2492.0,1684.0,7553.0,10975.0,6765.0,3776.0,4837.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3200.0,5641.0,4380.0,3937.0,2916.0,0.0,0.0,0.0,0.0,0.0,207.0,121.0,158.0,200.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
