ASV,domain,supergroup,division,subdivision,class,order,family,genus,species,domain_boot,supergroup_boot,division_boot,subdivision_boot,class_boot,order_boot,family_boot,genus_boot,species_boot
ASV_3541,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,100,89,89,83,61,35,9,9,7
ASV_3542,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-30,Dino-Group-II-Clade-30_X,Dino-Group-II-Clade-30_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3543,Eukaryota,TSAR,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,Discotrichidae,NASSO_1,NASSO_1_sp.,100,100,100,100,100,100,100,100,100
ASV_3544,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-13,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,100,98,98,97,92,90,89,89,89
ASV_3545,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,,,,,100,93,91,89,83,43,29,12,1
ASV_3546,Eukaryota,TSAR,Alveolata,,,,,,,99,78,75,10,10,10,10,6,6
ASV_3547,Eukaryota,TSAR,Stramenopiles,Gyrista,,,,,,98,82,82,81,37,37,37,37,37
ASV_3550,Eukaryota,,,,,,,,,98,50,24,24,20,19,19,19,6
ASV_3551,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,100,100,100,100,100,87,87,87,41
ASV_3553,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax_whaseongensis,100,99,99,99,99,99,99,99,98
ASV_3554,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_dubia,99,94,91,91,89,84,84,84,67
ASV_3555,Eukaryota,TSAR,,,,,,,,100,53,44,32,25,24,24,24,24
ASV_3556,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_sp.,100,100,100,100,100,100,100,100,75
ASV_3557,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Acanthoecida,Acanthoecidae_Group_G,Calliacantha,Calliacantha_longicaudata,100,100,100,100,100,100,89,89,89
