"Samples"	"orderplot"	"sampleplot"	"nreads"	"nasvs"
"ROS-NOAA07"	"Strombidiida"	"ROS-NOAA07"	142	9
"ROS-NOAA18"	"Strombidiida"	"ROS-NOAA18"	89	6
"ROS-NOAA24"	"Strombidiida"	"ROS-NOAA24"	101	9
"ROS-NOAA30"	"Strombidiida"	"ROS-NOAA30"	79	7
"ROS-ROS01"	"Strombidiida"	"ROS-ROS01"	33	3
"ROS-ROS05"	"Strombidiida"	"ROS-ROS05"	13	3
"ROS-ROS17"	"Strombidiida"	"ROS-ROS17"	46	4
"ROS-DAL15"	"Cryptomonadales"	"ROS-DAL15"	378	9
"ROS-SOC28"	"Cryptomonadales"	"ROS-SOC28"	292	15
"ROS-EMk17"	"Mamiellales"	"ROS-EMk17"	13	6
"ROS-MBA16"	"Dinophyceae_X"	"ROS-MBA16"	1436	30
"ROS-NOAA18"	"Prymnesiales"	"ROS-NOAA18"	56	11
"ROS-SOC12"	"Prymnesiales"	"ROS-SOC12"	652	23
"ROS-NOAA30"	"Suessiales"	"ROS-NOAA30"	9	5
"ROS-BMk13"	"Prymnesiales"	"ROS-BMk13"	435	18
"ROS-ROS09"	"Prymnesiales"	"ROS-ROS09"	71	11
"ROS-ROS17"	"Prymnesiales"	"ROS-ROS17"	51	8
"ROS-DAL27"	"Prymnesiales"	"ROS-DAL27"	134	6
"ROS-SOC28"	"Prymnesiales"	"ROS-SOC28"	581	21
"ROS-BMk13"	"Isochrysidales"	"ROS-BMk13"	120	17
"ROS-NOAA24"	"Peridiniales"	"ROS-NOAA24"	216	22
"ROS-ROS17"	"Peridiniales"	"ROS-ROS17"	7	5
"ROS-EMk03"	"Prorocentrales"	"ROS-EMk03"	1323	8
"ROS-EMk09"	"Prorocentrales"	"ROS-EMk09"	1525	11
"ROS-SOC05"	"Dino-Group-II"	"ROS-SOC05"	364	27
"ROS-SOC12"	"Dino-Group-II"	"ROS-SOC12"	463	29
"ROS-SOC18"	"Dino-Group-II"	"ROS-SOC18"	416	28
"ROS-SOC28"	"Dino-Group-II"	"ROS-SOC28"	395	26
"ROS-DAL03"	"Suessiales"	"ROS-DAL03"	4	3
"ROS-DAL09"	"Suessiales"	"ROS-DAL09"	2	2
"ROS-DAL27"	"Suessiales"	"ROS-DAL27"	1	1
"ROS-NOAA07"	"Phaeocystales"	"ROS-NOAA07"	91	4
"ROS-NOAA13"	"Phaeocystales"	"ROS-NOAA13"	81	4
"ROS-NOAA18"	"Phaeocystales"	"ROS-NOAA18"	97	4
"ROS-NOAA24"	"Phaeocystales"	"ROS-NOAA24"	64	4
"ROS-NOAA30"	"Phaeocystales"	"ROS-NOAA30"	79	5
"ROS-ROS05"	"Phaeocystales"	"ROS-ROS05"	16	5
"ROS-SOC28"	"Phaeocystales"	"ROS-SOC28"	44	4
"ROS-BMk15"	"Suessiales"	"ROS-BMk15"	30	9
"ROS-BMk17"	"Suessiales"	"ROS-BMk17"	28	16
"ROS-BMk25"	"Suessiales"	"ROS-BMk25"	19	8
"ROS-DAL27"	"Dinophyceae_X"	"ROS-DAL27"	1343	46
"ROS-SOC24"	"Dino-Group-II"	"ROS-SOC24"	335	23
"ROS-EMk15"	"Dinophyceae_X"	"ROS-EMk15"	66	32
"ROS-DAL27"	"Pyramimonadales_X"	"ROS-DAL27"	6	3
"ROS-SOC05"	"Pyramimonadales_X"	"ROS-SOC05"	52	4
"ROS-SOC12"	"Pyramimonadales_X"	"ROS-SOC12"	41	5
"ROS-SOC18"	"Pyramimonadales_X"	"ROS-SOC18"	67	5
"ROS-SOC24"	"Pyramimonadales_X"	"ROS-SOC24"	44	4
"ROS-SOC28"	"Pyramimonadales_X"	"ROS-SOC28"	40	4
