ASV,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_6721,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7831,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_6876,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8970,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7865,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8833,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6469,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7887,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6600,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7190,Eukaryota,,unknown,Dinophyceae,Peridiniales,unknown,unknown,Peridiniales sp. KW-2017a
ASV_8917,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_553,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7120,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8941,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8418,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6874,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7204,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_9093,Eukaryota,,unknown,Bolidophyceae,Parmales,Triparmaceae,,
ASV_2374,Eukaryota,,,,,,,
ASV_5720,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_784,Eukaryota,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,
ASV_6889,Eukaryota,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,
ASV_5661,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,,,
ASV_5424,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,,,
ASV_7468,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Chiridiella,Chiridiella abyssalis
ASV_978,Eukaryota,,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium monovelum
ASV_3865,Eukaryota,,unknown,Dinophyceae,Peridiniales,,,
ASV_2624,Eukaryota,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,
ASV_3307,Eukaryota,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,,
ASV_6563,Eukaryota,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,,
ASV_8850,Eukaryota,,,,,,,
ASV_5592,Eukaryota,,,,,,,
ASV_2694,Eukaryota,,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,
ASV_1059,Eukaryota,,unknown,Dinophyceae,,,,
ASV_6487,Eukaryota,,,,,,,
ASV_9017,Eukaryota,,,,,,,
ASV_7545,Eukaryota,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
ASV_6252,Eukaryota,,,,,,,
ASV_8618,Eukaryota,,,,,,,
ASV_3870,Eukaryota,,,,,,,
ASV_9167,Eukaryota,,,,,,,
ASV_5820,Eukaryota,,,,,,,
ASV_5865,Eukaryota,,,,,,,
ASV_5959,Eukaryota,,,,,,,
ASV_8685,Eukaryota,,,,,,,
ASV_7332,Eukaryota,,,,,,,
ASV_5834,Eukaryota,,,,,,,
ASV_956,Eukaryota,,,,,,,
ASV_9152,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,
ASV_5860,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,
ASV_5479,Eukaryota,,,,,,,
ASV_3094,Eukaryota,,,,,,,
ASV_5701,Eukaryota,,,,,,,
ASV_9008,Eukaryota,,,,,,,
ASV_7602,Eukaryota,,,,,,,
ASV_9285,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6646,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6829,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_2797,Eukaryota,,,,,,,
ASV_7557,Eukaryota,,,,,,,
ASV_7373,Eukaryota,,,,,,,
ASV_8475,Eukaryota,,,,,,,
ASV_8490,Eukaryota,,,,,,,
ASV_5604,Eukaryota,,,,,,,
ASV_8949,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas longipes
ASV_9246,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6725,Eukaryota,,unknown,Cryptophyceae,,,,
ASV_5888,Eukaryota,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_2157,Eukaryota,,,,,,,
ASV_9270,Eukaryota,,unknown,Choanoflagellata,Acanthoecida,Acanthoecidae,Enibas,Enibas tolerabilis
ASV_7653,Eukaryota,,,,,,,
ASV_5684,Eukaryota,,,,,,,
ASV_9244,Eukaryota,,,,,,,
ASV_5406,Eukaryota,,,,,,,
ASV_7462,Eukaryota,,,,,,,
ASV_6256,Eukaryota,,,,,,,
ASV_6264,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,,,
ASV_6977,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,,,,
ASV_2715,Eukaryota,,unknown,Dinophyceae,Syndiniales,,,
ASV_1084,Eukaryota,,,,,,,
ASV_9308,Eukaryota,,unknown,Dinophyceae,Peridiniales,,,
ASV_7654,Eukaryota,,unknown,Dinophyceae,Gymnodiniales,Ceratoperidiniaeceae,,
ASV_7623,Eukaryota,,,,,,,
ASV_7282,Eukaryota,,,,,,,
ASV_2801,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,,
ASV_2665,Eukaryota,,unknown,Dinophyceae,Abediniales,Abediniaceae,Abedinium,Abedinium dasypus
ASV_3118,Eukaryota,,Ciliophora,Spirotrichea,unknown,Tontoniidae,Spirotontonia,Spirotontonia grandis
ASV_3679,Eukaryota,,Ciliophora,Spirotrichea,,,,
ASV_6765,Eukaryota,,Ciliophora,,,,,
ASV_2399,Eukaryota,,unknown,Bigyra,,,,
ASV_3378,Eukaryota,,unknown,Bigyra,,,,
ASV_2996,Eukaryota,,unknown,Bigyra,,,,
ASV_3256,Eukaryota,,unknown,Bigyra,,,,
ASV_8631,Eukaryota,,unknown,Bigyra,,,,
ASV_5451,Eukaryota,,unknown,Bigyra,,,,
ASV_3771,Eukaryota,,unknown,Bigyra,,,,
ASV_2111,Eukaryota,,unknown,Bigyra,,,,
