# Constructed from biom file
#OTU ID	G8r-AWI19	G19r-AWI7	G12r-NOC23	E-G2-NOAA29	G22r-DAL24	E-G16-NOC11	E-G27-eMock2-2	G4r-ROS16	G7r-NOC20	E-G14-ROS20	E-G13-NOAA23	G5r-NOC4	G10r-ROS4	G26r-NOAA5	G24r-AWI15	G18r-NOAA6	G21r-NOC33	E-G3-DAL6	G9r-NOAA17	E-G28-eMock2-7	G23r-NOAA12	G17r-DAL12	G25r-ROS8	E-G36-bMock27	E-G6-DAL18	E-G15-AWI3	E-G30-eMockB-18	E-G29-eMockA-11	E-G32-bMock2	G11r-DAL30	E-G35-bMock22	G20r-ROS12	E-G31-eMockB-20	E-G34-bMock20	E-G1-AWI11	E-G33-bMock9	taxonomy
e6f66da033b746db006da43721422f37	80.0	50.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	9.0	67.0	0.0	0.0	0.0	7.0	0.0	0.0	11.0	0.0	0.0	29.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
12960e4383dd17ae0a822ec6196dbed7	80.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales
cc261ba21dfc77cbd138566a2e0a3e9b	62.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	85.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	43.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__Uncultured_marine
5c85107697773a5875b7957ebc00bc85	59.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	d__Eukaryota; p__Holozoa; c__Choanoflagellida; o__Codosigidae; f__Codosigidae; g__Lagenoeca
517e07a5221ee16d9d796e3ae8927a6d	58.0	86.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	96.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Haplozoon
93b5678363cfac88c621a462939c71a7	48.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniophyta; g__NOR26
b3ce4ed6c48ae17905f15c5e678c3fe0	47.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales
a97f4c56683649eb679be440e86bb702	45.0	99.0	0.0	0.0	15.0	2.0	0.0	5.0	11.0	3.0	0.0	10.0	3.0	39.0	97.0	11.0	13.0	0.0	0.0	0.0	17.0	14.0	6.0	0.0	9.0	64.0	0.0	0.0	0.0	9.0	0.0	14.0	0.0	0.0	68.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oligotrichia; g__Strombidium; s__Strombidium_paracapitatum
e228b7b455d920132c5d55830d54895c	40.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
0578b9a0688f43e8167305321254dcba	35.0	11.0	0.0	0.0	59.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	25.0	0.0	0.0	0.0	44.0	5.0	0.0	52.0	9.0	0.0	0.0	0.0	23.0	0.0	4.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata
6e762fd6bb42fdd96e6a96d81ed4e65e	34.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
51c6eab10c8a9e0538f455b00b204787	34.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae
d5239451cdf6172c9a904995c96b92f0	33.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oligotrichia; g__Strombidium; s__Strombidium_capitatum
4c3894c6125c952798ce278ede858315	33.0	1235.0	51.0	6.0	1170.0	133.0	0.0	3.0	12.0	15.0	2.0	363.0	0.0	2.0	21.0	0.0	997.0	184.0	4.0	0.0	0.0	1979.0	0.0	0.0	587.0	71.0	0.0	0.0	0.0	604.0	0.0	0.0	0.0	0.0	51.0	0.0	d__Eukaryota; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida
f0d617a8b58ceba7582b62482bb4c071	32.0	38.0	0.0	0.0	58.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	47.0	0.0	4.0	9.0	2.0	0.0	6.0	55.0	8.0	0.0	22.0	40.0	0.0	0.0	0.0	19.0	0.0	15.0	0.0	0.0	23.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade
a9aa6080601daf18619fd5f49ce9d6ce	32.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__Carteria_sp.
24da1d2b8da30bf89f02371a343ab3c2	30.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
038c786f29251c59ac3dfacd2ca62d81	30.0	44.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	54.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	0.0	0.0	4.0	31.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	36.0	0.0	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia; g__uncultured; s__uncultured_marine
73eca7c643c4675df252ec12d507084a	28.0	42.0	7.0	0.0	43.0	9.0	0.0	0.0	17.0	0.0	0.0	16.0	0.0	0.0	38.0	0.0	26.0	7.0	0.0	0.0	0.0	43.0	0.0	0.0	18.0	71.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	58.0	0.0	d__Eukaryota; p__MAST-2; c__MAST-2; o__MAST-2; f__MAST-2; g__MAST-2; s__uncultured_marine
1fa0f9e23e9c2b8032b2d48dbc4aa071	28.0	60.0	9.0	0.0	17.0	7.0	0.0	2.0	17.0	2.0	0.0	20.0	3.0	0.0	75.0	0.0	27.0	3.0	0.0	0.0	0.0	11.0	6.0	0.0	8.0	53.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	0.0	55.0	0.0	d__Eukaryota; p__Cryptophyceae; c__Cryptophyceae; o__Cryptomonadales; f__Cryptomonadales; g__uncultured; s__uncultured_eukaryote
