#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_713		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	
ASV_714	Metazoa	Arthropoda	Hexanauplia	Calanoida	Pontellidae	Anomalocera	Anomalocera patersoni
ASV_717		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_728	Metazoa	Annelida	Polychaeta	Sabellida	Sabellidae	Sabella	Sabella spallanzanii
ASV_731			Dinophyceae	Thoracosphaerales	Thoracosphaeraceae		
ASV_733			Dinophyceae				
ASV_737		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_741		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_744			Dinophyceae				
ASV_746							
ASV_759			Dinophyceae				
ASV_768			Dinophyceae				
ASV_782			Dinophyceae				
ASV_786			Dinophyceae				
ASV_797			Choanoflagellata	Acanthoecida	Stephanoecidae		
ASV_799		Cercozoa					
ASV_803							
ASV_810			Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha	
ASV_815	Metazoa	Mollusca	Bivalvia	Adapedonta	Hiatellidae	Hiatella	
ASV_816			Dinophyceae				
ASV_818		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_823			Dinophyceae				
ASV_829		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_838			Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	
ASV_840	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calanidae	Limnocalanus	Limnocalanus macrurus
ASV_844			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_853			Dinophyceae				
ASV_861		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis cordata
ASV_862			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	Aureococcus anophagefferens
ASV_863			Dinophyceae				
ASV_864			Dinophyceae				
ASV_865			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium spirale
ASV_882			Dinophyceae				
ASV_883			Dinophyceae	Thoracosphaerales	Thoracosphaeraceae		
ASV_890			Dinophyceae				
ASV_902		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_904		Haptophyta		Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium aff. polylepis
ASV_906		Cercozoa	Thecofilosea				
ASV_937			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_938			Dinophyceae				
ASV_947	Metazoa	Annelida	Polychaeta	Sabellida	Serpulidae	Hydroides	Hydroides norvegica
ASV_953		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_967			Dinophyceae				
ASV_971		Haptophyta		Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium aff. polylepis
ASV_977			Dinophyceae				
ASV_988			Dinophyceae				
ASV_998			Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	
ASV_999		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_1000			Bigyra	Thraustochytrida	Thraustochytriaceae	Aplanochytrium	
ASV_1013		Oomycota					
ASV_1024			Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax spinifera
ASV_1033			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1045			Dinophyceae				
ASV_1046			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1053	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	
ASV_1056			Dinophyceae				
ASV_1059	Metazoa	Ctenophora	Tentaculata	Cydippida	Mertensiidae	Mertensia	Mertensia ovum
ASV_1081	Metazoa	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria okadai
ASV_1091			Dinophyceae				
ASV_1092		Bacillariophyta	Mediophyceae				
ASV_1128		Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	
ASV_1130			Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa triquetra
ASV_1154			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	
ASV_1167	Metazoa	Porifera	Demospongiae	Poecilosclerida	Mycalidae	Mycale	Mycale fibrexilis
ASV_1168			Dinophyceae				
ASV_1184			Bigyra				
