,cj-DAL03,cj-DAL09,cj-DAL15,cj-DAL21,cj-DAL27,cj-MBA03,cj-MBA07,cj-MBA12,cj-MBA16,cj-MBA20,cj-NOAA07,cj-NOAA13,cj-NOAA18,cj-NOAA24,cj-NOAA30,cj-ROS01,cj-ROS05,cj-ROS09,cj-ROS13,cj-ROS17,cj-SOC05,cj-SOC12,cj-SOC18,cj-SOC24,cj-SOC28
cj-NOAA07,2.291384968250478,2.4146840093770137,2.497044535590143,2.59286359946478,2.3744790732245966,2.886926359103919,3.2206321972046092,2.9932922390852106,2.948380994194003,2.969583978338188,0.0,0.2535515712954409,0.17443949979867013,0.185718538921713,0.3433378218338645,2.37328995742769,2.347055700405801,2.2712968447043798,2.211905878051599,2.1113930414184976,2.7789358088120664,2.8098942043948134,2.4421604928304395,2.702158125354748,2.8190486565406414
cj-NOAA13,2.4705946226973072,2.5968959112573806,2.679139670938404,2.7850135072381637,2.5634877919832335,2.9832419325186383,3.32587302785402,3.0985538142818667,3.0861511201428438,3.0765233886024883,0.2535515712954409,0.0,0.11919487896883944,0.10414397617204132,0.22787336056773125,2.483455059924599,2.458248150877621,2.379109991999141,2.3307778995458435,2.219548652900004,2.984552370448784,3.0197713414012854,2.658453168619379,2.906198693772221,3.0281736293898494
cj-NOAA18,2.397592680212775,2.5165714228084584,2.5932204651885704,2.695970772605874,2.4825546194793398,2.879020427934148,3.219903017266086,2.992193531230261,2.974150356204378,2.970599913567258,0.17443949979867013,0.11919487896883944,0.0,0.032167781205843564,0.2465907367408123,2.378226525979963,2.352166837817019,2.2743673319640405,2.2234791269682304,2.1141017391496173,2.869483474543602,2.907531296644211,2.5446805883548986,2.7930896899173265,2.9157168399546194
cj-NOAA24,2.390409638344882,2.5112379586988958,2.589364067748807,2.6937804010769364,2.4779621327667494,2.892547596384487,3.2331319799069185,3.006355012238067,2.987028569563021,2.9825810737074963,0.185718538921713,0.10414397617204132,0.032167781205843564,0.0,0.26473716068932385,2.401642466862494,2.374955069672373,2.2977853989892716,2.2470273093517092,2.1370453012823702,2.8808885291795945,2.9169419761121254,2.555964521855492,2.802740413663736,2.9252222462005055
cj-NOAA30,2.6271464297618103,2.744517137049962,2.8189511948717345,2.9158220492849454,2.7071051145471,2.9780562872642125,3.3253759020368316,3.0913176832098093,3.1007726003378893,3.0873551163994777,0.3433378218338645,0.22787336056773125,0.2465907367408123,0.26473716068932385,0.0,2.4015612618398348,2.3827568059168462,2.2968965508790085,2.252322990761873,2.1430898524921265,3.027926236053399,3.077942167724545,2.7049766797516583,2.9621606532193847,3.085567262006656
cj-ROS01,3.0618880572901666,2.967740690615211,2.8625524802235596,2.872325154777521,2.9528217167969912,1.1171852896800682,1.3834453224938112,1.1497894884081516,1.3540663283766137,1.3165940676360295,2.37328995742769,2.483455059924599,2.378226525979963,2.401642466862494,2.4015612618398348,0.0,0.07626035160381531,0.10618966571920493,0.18143435737228156,0.2686518514329466,1.945975935568681,2.1692785889246418,1.9209798871562105,2.021176382805313,2.157746388242931
cj-ROS05,3.0007553060969836,2.9047461944293547,2.7979094002025624,2.809436970176008,2.891549308651058,1.0586657745362984,1.3322926718405907,1.0951448223815767,1.2925725366959888,1.2545484328782766,2.347055700405801,2.458248150877621,2.352166837817019,2.374955069672373,2.3827568059168462,0.07626035160381531,0.0,0.11209411024096085,0.16562229009359747,0.24005469756977937,1.8928892977350533,2.1148783490759744,1.8692857398589513,1.964523897881633,2.1032762941713212
cj-ROS09,3.011131858852338,2.9241569523907343,2.82489207049945,2.8395903554978466,2.9086449853719745,1.1513037461039404,1.4351759393429566,1.195670596894627,1.391414936672143,1.3498668844175232,2.2712968447043798,2.379109991999141,2.2743673319640405,2.2977853989892716,2.2968965508790085,0.10618966571920493,0.11209411024096085,0.0,0.12466807145717666,0.16824848225510022,1.9548436244256437,2.172018487919922,1.9106061428649597,2.0219177922825695,2.1613749960584445
cj-ROS13,2.910567423386353,2.8244429404962954,2.7272440967012552,2.7384630054140744,2.806199752552974,1.1742762210792623,1.4540489732305586,1.2135339620933456,1.3611877986347847,1.3542704383178614,2.211905878051599,2.3307778995458435,2.2234791269682304,2.2470273093517092,2.252322990761873,0.18143435737228156,0.16562229009359747,0.12466807145717666,0.0,0.15488213251816374,1.8557571622994666,2.0703522171474487,1.7998754357657127,1.9223242052547656,2.0603585321250004
cj-ROS17,2.8824911331990144,2.8038672093033234,2.7117824971297946,2.733460273034295,2.788277778426157,1.1730651382447672,1.478586087633462,1.2322607346013084,1.3996877627507298,1.361223907881823,2.1113930414184976,2.219548652900004,2.1141017391496173,2.1370453012823702,2.1430898524921265,0.2686518514329466,0.24005469756977937,0.16824848225510022,0.15488213251816374,0.0,1.9134040212840906,2.120137076995466,1.842980407445964,1.9669646690401854,2.110773616298378
cj-SOC05,1.7771262864625463,1.5789283147567326,1.409943989348939,1.3173813562802812,1.5659754098023322,1.7422580604616318,1.7541328520674442,1.6888523996445253,1.1948867155557419,1.5886200545650453,2.7789358088120664,2.984552370448784,2.869483474543602,2.8808885291795945,3.027926236053399,1.945975935568681,1.8928892977350533,1.9548436244256437,1.8557571622994666,1.9134040212840906,0.0,0.2503678917139572,0.39806807242824366,0.1833337841538632,0.23265250990488637
cj-SOC12,1.59762903565966,1.3908065713532496,1.2208100307779823,1.1099667309693604,1.3769957426890884,1.9496276120472549,1.9614907229570093,1.9030527796103702,1.4017627068573455,1.7850031300965168,2.8098942043948134,3.0197713414012854,2.907531296644211,2.9169419761121254,3.077942167724545,2.1692785889246418,2.1148783490759744,2.172018487919922,2.0703522171474487,2.120137076995466,0.2503678917139572,0.0,0.4075665271007364,0.17392702975976926,0.024043390944169876
cj-SOC18,1.5247266991765231,1.3646504180758956,1.2360452116566558,1.1529674762279356,1.3309591081084025,1.8847181716505421,1.96696214388876,1.8586945934147294,1.4135577826597656,1.7680033657642036,2.4421604928304395,2.658453168619379,2.5446805883548986,2.555964521855492,2.7049766797516583,1.9209798871562105,1.8692857398589513,1.9106061428649597,1.7998754357657127,1.842980407445964,0.39806807242824366,0.4075665271007364,0.0,0.35005621126877634,0.41601475395226245
cj-SOC24,1.6038310998016125,1.4015705934945415,1.2293195801093135,1.1415443827326595,1.3926719450583123,1.791013177852351,1.8188792664975624,1.7509160964717159,1.2580306149607174,1.6318403582589884,2.702158125354748,2.906198693772221,2.7930896899173265,2.802740413663736,2.9621606532193847,2.021176382805313,1.964523897881633,2.0219177922825695,1.9223242052547656,1.9669646690401854,0.1833337841538632,0.17392702975976926,0.35005621126877634,0.0,0.16457201323501489
cj-SOC28,1.6166487899129522,1.4089610794159333,1.237374169766154,1.12802973381935,1.3962783916341162,1.931396122796315,1.9406978179841727,1.8836964673916015,1.3812547295890887,1.7657781611817618,2.8190486565406414,3.0281736293898494,2.9157168399546194,2.9252222462005055,3.085567262006656,2.157746388242931,2.1032762941713212,2.1613749960584445,2.0603585321250004,2.110773616298378,0.23265250990488637,0.024043390944169876,0.41601475395226245,0.16457201323501489,0.0
