,PC1,PC2,PC3,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_877,-0.10810077740943291,0.07030435461337282,0.047763259543586824,,,Dinophyceae,,,,
ASV_886,0.015758103631450075,0.00033174357451665594,0.004794016464964894,,,Bigyra,,,,
ASV_887,0.008264446528352294,-0.03298616872490217,0.03332258147409866,Metazoa,Arthropoda,Hexanauplia,,,,
ASV_901,-0.10346763161978742,0.06660940533783162,0.04617885448724036,,Ciliophora,Spirotrichea,Tintinnida,Codonellidae,Tintinnopsis,Tintinnopsis lohmanni
ASV_913,0.0893928924560363,0.07082838546139876,0.05751978172076263,,,Bigyra,Bicosoecida,Cafeteriaceae,Cafeteria,
ASV_916,0.08718183830588626,0.06748812278027082,0.05759777762616354,,,Dinophyceae,,,,
ASV_918,-0.024825603740961762,-0.10989729068843034,0.049737523027588514,,,Dinophyceae,,,,
ASV_921,-0.05074925182617433,0.03312143692881711,0.021846327833247796,Metazoa,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,
ASV_927,-0.10427583408934453,0.06752746401655435,0.04625849520147075,,,Dinophyceae,,,,
ASV_933,0.015385410623113823,0.0007342406268201903,0.00468995869025226,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_941,-0.06106646729182634,0.03986401470618176,0.026594694279213484,,,Dinophyceae,,,,
ASV_948,0.015297597272468252,-0.07470022459653987,0.0507750022978715,,Ciliophora,Spirotrichea,,Strombidiidae,,
ASV_951,-0.06639220581469543,0.04119132113325302,0.03095430498830549,,,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,
ASV_956,-0.02435429419985438,-0.10787100635972943,0.047361363202021604,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,
ASV_961,0.025304607063754567,-0.06941738756644601,0.05492088303467184,,,Dinophyceae,,,,
ASV_966,0.03648293274325059,-0.04062269448643706,0.07330122203759175,,Bacillariophyta,Mediophyceae,,,,
ASV_978,0.01484296722417512,0.0003812012779651297,0.0045685365523517926,,,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium monovelum
ASV_1012,0.024423206533243615,-0.005957639340717458,-0.0005174173337566531,,,Dinophyceae,Blastodiniales,,Blastodinium,Blastodinium contortum
ASV_1014,0.014146858048796626,0.00019682921243895473,0.004451767662212477,,,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Stoeckeria,
ASV_1017,-0.07525192325350209,0.04830266328419265,0.03324052113713115,,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,Pelagostrobilidium,Pelagostrobilidium neptuni
ASV_1026,0.0619463314796713,-0.006595273052409905,0.07993905487365557,,,Dinophyceae,,,,
ASV_1032,0.014376573980035343,0.000873398564623327,0.004339267888169469,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_1041,0.01283917816356011,5.169217960385328e-06,0.004112209496528465,,,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,,
ASV_1046,-0.09829969117728078,0.06367706750880836,0.04373701485844008,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus sp. 'lucimarinus'
ASV_1052,0.014368396840804152,0.0007551667882541809,0.004369504030170898,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_1056,-0.02176060045514921,-0.10163635724056591,0.04522045502877786,,Ciliophora,Litostomatea,Cyclotrichida,Mesodiniidae,Askenasia,
ASV_1057,0.025613665210891336,-0.043175894785002084,0.06155766727989004,,,Dinophyceae,,,,
ASV_1059,0.01441320460353594,0.0007200257440892281,0.004414584511483673,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_1060,-0.01214502371536948,0.006405247066857535,0.02342549955164725,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_1069,0.08360881186310008,0.06640898089379525,0.05410943997714617,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,Marphysa brevitentaculata
ASV_1084,0.08714059065173674,0.06302843929198698,0.05083183789754771,,,Dinophyceae,,,,
ASV_1085,0.013227323405201274,-0.058606400427652,0.05778414360750542,,Haptophyta,,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium polylepis
ASV_1087,-0.02920696870348729,-0.09073363818136787,0.04638982667328785,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV_1094,-0.02232988566886769,-0.10865072096561584,0.037276828169422405,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cf. cuspidata
ASV_1095,0.009033598125600785,-0.04177573894142985,0.04097453009712333,,,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,Noctiluca scintillans
ASV_1106,-0.02151666128314556,-0.10067345621424935,0.04476018862765996,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,Minidiscus trioculatus
ASV_1110,0.012932736966052611,0.0009717641205766577,0.0038245178824741844,Metazoa,Rotifera,Eurotatoria,Ploima,Notommatidae,Notommata,Notommata cordonella
ASV_1112,0.0817168403662223,0.06488952792322512,0.05289357875539704,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira lundiana
ASV_1119,0.0018009689372944825,0.008678548081247812,-0.00354140059947922,,Haptophyta,,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_1127,0.03096374432175434,-0.02569870615163238,0.08360006299372282,,,Bigyra,,,,
ASV_2011,0.008371069353987237,-0.03716076670798501,0.03685112942254842,,,Dinophyceae,,,,
ASV_2012,0.008057054463813069,-0.03600680345815691,0.035383554320193064,,,Dinophyceae,,,,
ASV_2013,0.007496603154112915,-0.03304642268778115,0.032671377308201514,,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,Rimostrombidium,
ASV_2031,0.044489501383423335,0.03534279568453298,0.02888154607542282,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula lanceolata
ASV_2033,0.05257774386701987,0.03447802141811356,0.025364922716106988,,,Bigyra,,,,
ASV_2037,-0.012739369804525497,-0.060430061385703567,0.02708384293514081,,,Dinophyceae,,,,
ASV_2040,-0.03957415561761485,0.025788058253832805,0.01754926298724984,,Ciliophora,Spirotrichea,Tintinnida,Tintinnidiidae,Antetintinnidium,Antetintinnidium mucicola
ASV_2042,0.011993662339706676,-0.00825952061309103,-0.004935856745157883,,Bacillariophyta,Fragilariophyceae,Licmophorales,Licmophoraceae,Licmophora,Licmophora reichardtii
ASV_2045,0.04112751572096269,0.032894101038735676,0.02753234596990808,,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,Rimostrombidium,
ASV_2051,0.050640213545207056,0.057658505625703516,0.020323121381308918,,,Choanoflagellata,Acanthoecida,Stephanoecidae,,
ASV_2053,0.005851000868642134,0.0009446055014231335,0.001949179369163933,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2060,0.045915242692176186,0.0362257991939636,0.030245545060271564,,,Dinophyceae,,,,
ASV_2065,0.04422018725121015,0.0235755843111487,0.037420978496050396,,Cercozoa,,,,,
ASV_2066,0.04347731152295229,0.03462285498472265,0.028288018628909086,,,Dinophyceae,,,,
ASV_2067,-0.055150098697489866,0.035806405063017153,0.024488912475687203,Metazoa,Arthropoda,Insecta,,,,
ASV_2071,0.006413598978484483,0.0005972933958443906,0.0022487692585966878,,,Dinophyceae,,,,
ASV_2075,0.00888421598524348,0.03292898799215636,0.02645735647081289,Metazoa,Arthropoda,Insecta,,,,
ASV_2082,0.006299664206503221,0.0005796266211135315,0.0020642773530915237,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2087,0.009091387846553252,-0.03137569241656711,0.03385889360846909,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_2101,0.07775055558048433,0.018370670059376867,0.01658585303291815,,,Bigyra,,,,
ASV_2107,0.04827126876847614,0.038210751866562115,0.03138877609144541,Metazoa,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,
ASV_2108,-0.01263835079281692,-0.0590701591028147,0.026488231155166478,,,Ichthyosporea,,,,
ASV_2109,0.005888190912727473,0.0005176994658557839,0.002046847680574998,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2110,-0.024342562457247918,0.015966040976040093,0.010454645323086788,Metazoa,Arthropoda,Hexanauplia,,,,
ASV_2111,0.03509168685871541,0.035312689092807464,0.02904554947038439,,,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_2112,0.04191059242317633,0.033167042009317624,0.02825007679654242,,,Phaeophyceae,Fucales,Fucaceae,Silvetia,
ASV_2117,0.0066956252862248765,0.000328968952469799,0.002222333153461635,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2118,0.038446179482294375,0.03015393301897193,0.025146665265590985,,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,
ASV_2126,0.04614606798448697,0.03667091008871081,0.030375481413428072,,,Dinophyceae,,,,
ASV_2127,0.031054998473732578,-0.04389495273400814,0.01620171232919872,,Bacillariophyta,Mediophyceae,,,,
ASV_2151,5.8061515573518386e-05,-0.005254800275312561,-0.0021687068125072766,,,Dinophyceae,Gonyaulacales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula
ASV_2157,-0.04742798692154462,0.03009650304123389,0.021716154089406053,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Protaspa,
ASV_2167,-0.045506280080597546,0.030260128265214226,0.020031389486223482,,,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,
ASV_2168,0.04238792567403667,0.0385296738367262,0.02469192679422961,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_2170,0.002722815830435673,0.0005431062732096257,0.000681600504199745,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ASV_2171,-0.04395674912564222,0.027987762993853086,0.02005662074859523,,Bacillariophyta,,,,,
ASV_2173,-0.04537421109568536,0.0298410345596792,0.019918082177504393,,,Dinophyceae,,,,
ASV_2175,0.04843683117643797,0.03840331058568902,0.03152604734346634,Metazoa,Annelida,Polychaeta,,Opheliidae,Ophelia,Ophelia bicornis
ASV_2176,0.021070983915938268,0.009865194664817604,0.018965835705728934,,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,
ASV_2177,0.014527566865826125,-0.013636576721484257,0.028245494207782055,,Ciliophora,Spirotrichea,,Strombidiidae,,
ASV_2188,-0.04673645124493477,0.030276747942300532,0.021367775376814016,,,,,,,
ASV_2190,0.00776016687091334,-0.03440388172940629,0.034204192848087116,,Ciliophora,Spirotrichea,,Strombidiidae,,
ASV_2193,-0.03441518309500791,-0.010956732008309064,0.02600294731360308,,Bacillariophyta,,,,,
ASV_2208,0.005940185426001835,7.70690254927934e-05,0.002172797814639843,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2209,-0.003402634062036269,-0.02082576960503492,0.03127026586494338,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_2218,-0.05059403326755207,0.032824976745149816,0.022517864041237463,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium dominans
ASV_2222,0.005903426522882799,0.0003946970823423134,0.0020168890496451717,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2234,0.04662698542328238,0.0368456658926373,0.030155118145475585,,,Dinophyceae,,,,
ASV_2239,0.045024359282027346,0.0396808966362832,0.021771391621784292,,,Bolidophyceae,Parmales,,,
ASV_2240,0.009139587445662269,0.0034363667720366097,0.004767485778974234,,,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,,
ASV_2241,-0.05516324240692722,0.023347624054389778,0.01544236516094491,,,Dinophyceae,,,,
ASV_2243,0.034524738081535514,0.02724901223315936,0.02382384650965308,,Ciliophora,Spirotrichea,,,,
ASV_2244,0.005680462207231735,3.9280436638395325e-05,0.0019583921801459574,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2245,0.00588244082911169,0.0002780502575725371,0.0020589735594216084,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV_2258,-0.03138646818275613,0.034035020348857095,0.024658257400605944,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_2259,0.006890484504458991,-0.03078147611467689,0.03050323431234695,,,Dinophyceae,,,,
ASV_2263,0.041738044121243954,0.03273353902459345,0.026647513707845107,,,Dinophyceae,,,,
ASV_2265,0.005013314140827792,-0.04256074550735194,0.010176242795452399,,,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos furca
ASV_2269,0.006939552626111282,-0.030936695343571703,0.030674377812869698,,Ciliophora,Spirotrichea,,Strombidiidae,,
ASV_2271,-0.048321166280184694,0.031446375861776045,0.021676098559756714,,,Dinophyceae,,,,
ASV_2272,-0.012207225128561303,0.010052810202770438,0.00765893205091073,,,Dinophyceae,,,,
ASV_2287,0.04386143368182163,0.03775466216640353,0.017495359988554216,,Ciliophora,Prostomatea,Prorodontida,Urotrichidae,Urotricha,
ASV_2304,-0.011709840609468327,-0.05489790837801589,0.024639672951482925,,,Dinophyceae,,,,
ASV_2308,0.040085824012854473,0.02482376223859156,0.02191881357203431,,,Chrysophyceae,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
ASV_2309,-0.04441346237052399,0.02877858321449058,0.020034929761345483,,Cercozoa,,,,,
ASV_2310,0.004493404682554177,0.0007000933333167887,0.001516759763614936,,,Dinophyceae,,,,
ASV_2318,0.05417131162070933,0.024340684840911425,0.021280198489416823,,,Bigyra,,,,
ASV_2320,0.025475526910498533,0.015218106951999114,0.02006993862992281,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira minuscula
ASV_2321,-0.045653965313418476,0.029432302666900976,0.020756444183879032,,Ciliophora,Spirotrichea,Tintinnida,Xystonellidae,,
ASV_2322,-0.011213576462948537,-0.051322276670025736,0.0230067598059059,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
ASV_2323,-0.011214359759806818,-0.052653625364882425,0.023689204717450688,,,Dinophyceae,,,,
ASV_2332,0.0009159644702002282,-0.05160025350729487,0.015998960705774216,,,Dinophyceae,,,,
ASV_2333,-0.04513368153413698,0.02997809289953016,0.019667604359592066,,,Dinophyceae,,,,
ASV_2335,0.000486095332051259,-0.02221754402916137,0.028693328031098225,,Ciliophora,Spirotrichea,,Tontoniidae,Pseudotontonia,Pseudotontonia simplicidens
ASV_2339,0.0435060702481797,0.03438109954114687,0.0282185657210841,,Ciliophora,Litostomatea,Cyclotrichida,Mesodiniidae,Askenasia,
ASV_2344,0.004583484206212745,-0.034060724623182645,0.02982315414072766,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira anguste-lineata
