#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_5828	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5829	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	unassigned	unassigned	unassigned
ASV_5830	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	unassigned	unassigned
ASV_5831	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	unassigned	unassigned
ASV_5832	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5833	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5865	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_5866	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5867	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5868	Eukaryota	unknown	Bigyra	Nanomonadea	unknown	unassigned	unassigned
ASV_5869	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5870	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5871	Eukaryota	Cercozoa	unknown	Cercomonadida	Cercomonadidae	unassigned	unassigned
ASV_5872	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	unassigned	unassigned
ASV_5873	Eukaryota	Ciliophora	Spirotrichea	unassigned	unassigned	unassigned	unassigned
ASV_5874	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5875	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_5876	Eukaryota	unknown	Dictyochophyceae	Pedinellales	unknown	unassigned	unassigned
ASV_5877	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_5878	Eukaryota	unknown	Dinophyceae	Syndiniales	Duboscquellidae	unassigned	unassigned
ASV_5879	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_5880	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	unassigned	unassigned
ASV_5881	Eukaryota	unknown	unknown	Ancyromonadida	Planomonadidae	Planomonas	Planomonas micra
ASV_5882	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus purpuratus
ASV_5883	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_5884	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas australis
ASV_5898	Eukaryota	Ciliophora	unknown	unknown	unknown	unassigned	unassigned
ASV_5900	Eukaryota	unknown	Bigyra	Thraustochytrida	Thraustochytriaceae	unassigned	unassigned
ASV_5907	Eukaryota	Endomyxa	unknown	unknown	Gromiidae	Gromia	unassigned
ASV_5908	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5910	Eukaryota	unknown	Cryptophyceae	Pyrenomonadales	Geminigeraceae	unassigned	unassigned
ASV_5914	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5915	Eukaryota	Cercozoa	unknown	Cercomonadida	Cercomonadidae	unassigned	unassigned
ASV_5916	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	Blastodinium	unassigned
ASV_5919	Eukaryota	Euglenozoa	unknown	Diplonemea	unknown	unassigned	unassigned
ASV_5923	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5924	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5926	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5930	Eukaryota	unknown	Dictyochophyceae	Florenciellales	unknown	Florenciella	unassigned
ASV_5932	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_5934	Eukaryota	unknown	Ichthyosporea	Ichthyophonida	unassigned	unassigned	unassigned
ASV_5937	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5956	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_5968	Eukaryota	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	Amphora sp. 38
ASV_5971	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	unassigned	unassigned
ASV_5983	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	unassigned	unassigned
ASV_5984	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	unassigned	unassigned
ASV_5985	Eukaryota	unknown	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas	unassigned
ASV_5986	Eukaryota	unknown	Dinophyceae	Suessiales	Suessiaceae	Protodinium	Protodinium simplex
ASV_5987	Eukaryota	Cercozoa	unknown	unknown	unknown	unassigned	unassigned
ASV_5988	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_5989	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_5990	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5991	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	unassigned
ASV_5992	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5993	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5994	Eukaryota	unknown	Ichthyosporea	Dermocystida	unknown	Rhinosporidium	unassigned
ASV_5995	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5996	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_5997	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_5998	Eukaryota	unknown	Acantharea	Chaunacanthida	unassigned	unassigned	unassigned
ASV_5999	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6000	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	Fibrocapsa	Fibrocapsa japonica
ASV_6001	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	unassigned
ASV_6002	Eukaryota	Endomyxa	Ascetosporea	Haplosporida	unknown	unassigned	unassigned
ASV_6003	Eukaryota	unknown	Choanoflagellata	Acanthoecida	unassigned	unassigned	unassigned
ASV_6004	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	unassigned	unassigned
ASV_6005	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_6006	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	unassigned	unassigned
ASV_6007	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6008	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6009	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	unknown	Cephalosporium	Cephalosporium gramineum
ASV_6010	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_6011	Eukaryota	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	unassigned
ASV_6012	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_6013	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_6014	Eukaryota	Ascomycota	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6015	Eukaryota	Chlorophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6016	Eukaryota	Hemichordata	Enteropneusta	unknown	Harrimaniidae	Saccoglossus	Saccoglossus pusillus
ASV_6029	Eukaryota	Endomyxa	unknown	unknown	Gromiidae	unassigned	unassigned
ASV_6035	Eukaryota	unknown	Chrysophyceae	Hibberdiales	Hibberdiaceae	unassigned	unassigned
ASV_6039	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_6045	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_6049	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_6054	Eukaryota	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium	Pentapharsodinium tyrrhenicum
ASV_6055	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6057	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Takayama	Takayama cf. pulchellum
ASV_6058	Eukaryota	unknown	Polycystinea	unassigned	unassigned	unassigned	unassigned
ASV_6059	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6060	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Heterosiphonia	Heterosiphonia pulchra
ASV_6061	Eukaryota	Ciliophora	Oligohymenophorea	Peniculida	Frontoniidae	Frontonia	unassigned
ASV_6062	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6064	Eukaryota	unknown	Bolidophyceae	Parmales	Triparmaceae	unassigned	unassigned
ASV_6077	Eukaryota	Ciliophora	Spirotrichea	unknown	Strombidiidae	unassigned	unassigned
ASV_6078	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Canthocamptidae	Bryocamptus	Bryocamptus stillae
ASV_6086	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6087	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_6088	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_6089	Eukaryota	Rotifera	Bdelloidea	unassigned	unassigned	unassigned	unassigned
ASV_6090	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Aglantha	Aglantha digitale
ASV_6091	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_6092	Eukaryota	Cercozoa	Thecofilosea	unknown	unknown	unassigned	unassigned
ASV_6093	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_6094	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6095	Eukaryota	Haptista	Haptophyta	Prymnesiales	unassigned	unassigned	unassigned
ASV_6096	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	unassigned	unassigned
ASV_6097	Eukaryota	unknown	Chrysophyceae	unassigned	unassigned	unassigned	unassigned
ASV_6098	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	unassigned	unassigned
ASV_6099	Eukaryota	Chlorophyta	Ulvophyceae	Ulvales	unknown	Halofilum <green algae>	Halofilum ramosum
ASV_6100	Eukaryota	unknown	Oomycota	Lagenidiales	Haliphthoraceae	Halocrusticida	unassigned
ASV_6101	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6102	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6103	Eukaryota	unknown	unknown	unknown	unknown	unknown	unassigned
ASV_6104	Eukaryota	unknown	unknown	Telonemida	unknown	unassigned	unassigned
ASV_6105	Eukaryota	Ciliophora	Spirotrichea	unknown	Strombidiidae	unassigned	unassigned
ASV_6106	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6107	Eukaryota	Annelida	Polychaeta	Sabellida	Oweniidae	Owenia	Owenia fusiformis
ASV_6108	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Islandinium	Islandinium tricingulatum
ASV_6109	Eukaryota	Chlorophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6110	Eukaryota	unknown	Bigyra	Bicosoecida	Cafeteriaceae	Pseudobodo	unassigned
ASV_6111	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6112	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6113	Eukaryota	unknown	unknown	unknown	unknown	unassigned	unassigned
ASV_6114	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6116	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellariidae	unassigned	unassigned
ASV_6118	Eukaryota	Euglenozoa	unknown	Diplonemea	unassigned	unassigned	unassigned
ASV_6120	Eukaryota	Annelida	Polychaeta	Phyllodocida	Hesionidae	unassigned	unassigned
ASV_6121	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_6122	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6123	Eukaryota	unknown	Acantharea	Chaunacanthida	unassigned	unassigned	unassigned
ASV_6124	Eukaryota	Ciliophora	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6125	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6126	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	unassigned
ASV_6127	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6128	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	unassigned	unassigned
