"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"156","ASV_10137",NA,NA,"Dinophyceae",NA,NA,NA,NA
"157","ASV_10138","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea",NA
"158","ASV_10139",NA,NA,NA,NA,NA,NA,NA
"159","ASV_1014",NA,NA,"Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Stoeckeria",NA
"160","ASV_10140",NA,NA,"Dinophyceae",NA,NA,NA,NA
"161","ASV_10141",NA,NA,"Dinophyceae",NA,NA,NA,NA
"162","ASV_10142",NA,NA,"Dinophyceae","Coccidiniales","Chytriodiniaceae",NA,NA
"163","ASV_10143",NA,NA,NA,NA,NA,NA,NA
"164","ASV_10144",NA,NA,NA,NA,NA,NA,NA
"165","ASV_10145",NA,NA,"Polycystinea","Spumellaria","Ethmosphaeridae",NA,NA
"166","ASV_10146",NA,NA,NA,NA,NA,NA,NA
"167","ASV_10147",NA,NA,"Polycystinea",NA,NA,NA,NA
"168","ASV_10148",NA,NA,NA,NA,NA,NA,NA
"169","ASV_10149",NA,NA,NA,NA,NA,NA,NA
"170","ASV_1015",NA,NA,"Bolidophyceae","Parmales","Triparmaceae",NA,NA
"171","ASV_10150",NA,"Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae",NA,NA
"172","ASV_10151",NA,NA,NA,NA,NA,NA,NA
"173","ASV_10152",NA,NA,"Dinophyceae",NA,NA,NA,NA
"174","ASV_10153",NA,NA,"Dinophyceae",NA,NA,NA,NA
"175","ASV_10154",NA,NA,NA,NA,NA,NA,NA
"176","ASV_10155","Viridiplantae","Chlorophyta","Mamiellophyceae","Dolichomastigales",NA,NA,NA
"177","ASV_10156",NA,NA,"Dinophyceae","Blastodiniales",NA,NA,NA
"178","ASV_10157",NA,NA,NA,NA,NA,NA,NA
"179","ASV_10158",NA,NA,"Polycystinea",NA,NA,NA,NA
"180","ASV_10159",NA,NA,NA,NA,NA,NA,NA
"181","ASV_1016",NA,"Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Pelagostrobilidium",NA
