ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup
ASV_18,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_19,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Phaeocystales,f:Phaeocystaceae,g:Phaeocystis,s:Phaeocystis_pouchetii",not_provided
ASV_20,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Eukaryota,not_provided
ASV_21,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,not_provided,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,not_provided
ASV_22,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,not_provided,not_provided
ASV_23,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_24,Eukaryota,not_provided,Haptista,Haptophyta,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_25,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas_parkeae;,not_provided
ASV_26,Eukaryota,not_provided,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned,not_provided,not_provided
ASV_27,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,not_provided,not_provided
ASV_28,Eukaryota,not_provided,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina,not_provided,not_provided
ASV_29,not_provided,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,not_provided,not_provided,d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae,not_provided
ASV_30,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_polaris;,not_provided
ASV_31,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,not_provided
ASV_32,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans,"Eukaryota,d:Alveolata,p:Dinoflagellata,c:Dinophyceae,o:Prorocentrales,f:Prorocentraceae,g:Prorocentrum,s:Prorocentrum_micans",not_provided
ASV_33,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus,not_provided,not_provided
ASV_34,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_curviseriata;,not_provided
ASV_35,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned,not_provided,not_provided
ASV_36,not_provided,Eukaryota,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Melosirids,Melosira,,d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Melosirids; g__Melosira; s__,not_provided
ASV_37,Eukaryota,not_provided,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,not_provided,not_provided
ASV_38,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Anomalocera,Anomalocera_patersoni,"Eukaryota,d:Opisthokonta,p:Metazoa,c:Arthropoda,o:Crustacea,f:Maxillopoda,g:Anomalocera,s:Anomalocera_patersoni",not_provided
ASV_39,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium,not_provided
ASV_40,not_provided,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Chaetoceros,,d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__,not_provided
ASV_41,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,unassigned,not_provided,not_provided
ASV_42,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Eukaryota,not_provided
ASV_43,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_44,Eukaryota,not_provided,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unassigned,unassigned,not_provided,not_provided
ASV_45,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,not_provided,not_provided
ASV_46,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_X,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda_X;Maxillopoda_X_sp.;,not_provided
ASV_47,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis,not_provided
ASV_48,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_49,Eukaryota,not_provided,Haptista,Haptophyta,Prymnesiales,Prymnesiaceae,Prymnesium,unassigned,not_provided,not_provided
ASV_50,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned,not_provided,not_provided
ASV_51,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned,not_provided,not_provided
ASV_52,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis_galbana;,not_provided
ASV_53,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,unassigned,not_provided,not_provided
ASV_54,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_55,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_gracilis;,not_provided
ASV_56,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiales,Prymnesiales,Prymnesium,Prymnesium_parvum,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Prymnesium; s__Prymnesium_parvum,not_provided
ASV_57,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_58,Eukaryota,not_provided,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita,not_provided,not_provided
ASV_59,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_60,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paracalanus;Paracalanus_parvus;,not_provided
ASV_61,Eukaryota,Obazoa,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Appendicularia,Oikopleura,Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Appendicularia;Oikopleura,not_provided
ASV_62,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,not_provided,not_provided
ASV_63,Eukaryota,not_provided,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,not_provided,not_provided
ASV_64,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,not_provided,not_provided,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida,not_provided
ASV_65,Eukaryota,not_provided,Chlorophyta,unknown,Pyramimonadales,unknown,Pyramimonas,Pyramimonas parkeae,not_provided,not_provided
ASV_66,not_provided,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellales,Micromonas,uncultured_eukaryote,d__Eukaryota; p__Chlorophyta; c__Mamiellophyceae; o__Mamiellales; f__Mamiellales; g__Micromonas; s__uncultured_eukaryote,not_provided
ASV_67,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_commoda_A2;,not_provided
ASV_68,not_provided,Eukaryota,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales,Plagiostriata,,d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Fragilariales; f__Fragilariales; g__Plagiostriata; s__,not_provided
ASV_69,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,not_provided
ASV_70,not_provided,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Chaetoceros,,d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__,not_provided
ASV_71,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_72,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Eukaryota,not_provided
ASV_73,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,not_provided,not_provided,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida,not_provided
ASV_74,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus_lucimarinus;,not_provided
ASV_75,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae,Gyrodinium,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium,not_provided
ASV_76,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_77,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803,not_provided,not_provided
ASV_78,Eukaryota,not_provided,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_79,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_80,Eukaryota,not_provided,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unassigned,not_provided,not_provided
ASV_81,Eukaryota,not_provided,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_82,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided
ASV_83,Eukaryota,not_provided,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_84,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,not_provided,not_provided
ASV_85,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Eukaryota,not_provided
ASV_86,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided
ASV_87,not_provided,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,d__Eukaryota,not_provided
ASV_88,Eukaryota,not_provided,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote,not_provided,not_provided
ASV_89,Eukaryota,not_provided,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_90,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_91,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa,not_provided
ASV_92,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,not_provided,not_provided,not_provided,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae,not_provided
ASV_93,not_provided,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Triceratium,,d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Triceratium; s__,not_provided
ASV_94,Eukaryota,not_provided,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,unassigned,not_provided,not_provided
ASV_95,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Isochrysidales,Isochrysidales,Emiliania,,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Isochrysidales; f__Isochrysidales; g__Emiliania; s__,not_provided
ASV_96,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;,not_provided
ASV_97,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Isochrysidales,Isochrysidales,Emiliania,Emiliania_huxleyi,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Isochrysidales; f__Isochrysidales; g__Emiliania; s__Emiliania_huxleyi,not_provided
ASV_98,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Bivalvia,Mytiloida,Musculus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;Musculus;Musculus_cupreus;,not_provided
ASV_99,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Isochrysidales,Isochrysidales,Isochrysis,Isochrysis_galbana,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Isochrysidales; f__Isochrysidales; g__Isochrysis; s__Isochrysis_galbana,not_provided
ASV_100,Eukaryota,TSAR,Stramenopiles,Gyrista,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus_anophagefferens;,not_provided
ASV_101,Eukaryota,not_provided,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita,not_provided,not_provided
ASV_102,not_provided,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Pseudo-nitzschia,,d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Pseudo-nitzschia; s__,not_provided
ASV_103,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Phaeocystis,,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__,not_provided
ASV_104,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus_prasinos;,not_provided
ASV_105,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus,not_provided,not_provided
ASV_106,not_provided,Eukaryota,Mollusca,Gastropoda,Heterobranchia,Heterobranchia,Heterobranchia,not_provided,d__Eukaryota; p__Mollusca; c__Gastropoda; o__Heterobranchia; f__Heterobranchia; g__Heterobranchia,not_provided
ASV_107,Eukaryota,not_provided,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,not_provided,not_provided
ASV_108,Eukaryota,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Eukaryota,not_provided
ASV_109,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Phaeocystis,,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__,not_provided
ASV_110,Eukaryota,not_provided,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,not_provided,not_provided
ASV_111,not_provided,Eukaryota,Tunicata,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,Oikopleura_sp.,d__Eukaryota; p__Tunicata; c__Appendicularia; o__Copelata; f__Oikopleuridae; g__Oikopleuridae; s__Oikopleura_sp.,not_provided
ASV_112,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Capitella,Capitella_teleta,"Eukaryota,d:Opisthokonta,p:Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Capitella,s:Capitella_teleta",not_provided
ASV_113,not_provided,Eukaryota,Chlorophyta,Prasinophytae,Prasinococcales,Prasinococcales,Prasinococcus,,d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinococcales; f__Prasinococcales; g__Prasinococcus; s__,not_provided
ASV_114,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas,not_provided
ASV_115,Eukaryota,not_provided,unknown,Dinophyceae,Pyrocystales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula,not_provided,not_provided
ASV_116,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium_nemamethecum,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Prymnesiales,f:Prymnesiaceae,g:Prymnesium,s:Prymnesium_nemamethecum",not_provided
ASV_117,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,not_provided,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae,not_provided
ASV_118,not_provided,Eukaryota,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Phaeocystis,,d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__,not_provided
ASV_119,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania_huxleyi,"Eukaryota,d:Hacrobia,p:Haptophyta,c:Prymnesiophyceae,o:Isochrysidales,f:Noelaerhabdaceae,g:Emiliania,s:Emiliania_huxleyi",not_provided
ASV_120,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium_fulvescens;,not_provided
ASV_121,Eukaryota,not_provided,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_122,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Pseudocalanus;Pseudocalanus_elongatus;,not_provided
ASV_123,Eukaryota,not_provided,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned,not_provided,not_provided
ASV_124,Eukaryota,not_provided,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned,not_provided,not_provided
ASV_125,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira,not_provided
ASV_126,Eukaryota,not_provided,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,not_provided,not_provided
ASV_127,not_provided,Eukaryota,Dinoflagellata,Dinophyceae,not_provided,not_provided,not_provided,not_provided,d__Eukaryota; p__Dinoflagellata; c__Dinophyceae,not_provided
ASV_128,not_provided,Eukaryota,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida,Cyclopoida,not_provided,d__Eukaryota; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida,not_provided
ASV_129,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,not_provided,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,not_provided
ASV_130,not_provided,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,Conticribra_weissflogii,d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Thalassiosira; s__Conticribra_weissflogii,not_provided
ASV_131,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Minidiscus,Minidiscus_sp.,"Eukaryota,d:Stramenopiles,p:Ochrophyta,c:Bacillariophyta,o:Bacillariophyta_X,f:Polar-centric-Mediophyceae,g:Minidiscus,s:Minidiscus_sp.",not_provided
ASV_132,Eukaryota,not_provided,Ctenophora,Tentaculata,Cydippida,unassigned,unassigned,unassigned,not_provided,not_provided
ASV_133,not_provided,Eukaryota,Chlorophyta,Prasinophytae,Prasinophytae,Prasinophytae,Prasinophytae,Pyramimonas_parkeae,d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pyramimonas_parkeae,not_provided
ASV_134,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned,not_provided,not_provided
