#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_264			Dinophyceae				
ASV_267		Bacillariophyta	Mediophyceae	Eupodiscales	Odontellaceae	Odontella	
ASV_272			Dinophyceae				
ASV_276			Dinophyceae				
ASV_287			Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
ASV_298			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium fulvescens
ASV_311		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_320	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_321		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros socialis
ASV_323	Metazoa	Cnidaria	Hydrozoa	Siphonophorae			
ASV_325	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis
ASV_331			Dinophyceae				
ASV_337	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae		
ASV_342	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Cyclopinidae	Cyclopina	
ASV_347			Cryptophyceae	Cryptomonadales			
ASV_353	Viridiplantae	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcaceae	Prasinococcus	
ASV_360		Bacillariophyta	Mediophyceae				
ASV_370	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas gelidicola
ASV_374	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_377	Metazoa	Annelida	Polychaeta	Sabellida			
ASV_380		Bacillariophyta	Bacillariophyceae				
ASV_384	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_385		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_390		Cercozoa	Thecofilosea		Ebriacea		
ASV_391	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Arcuatula	Arcuatula senhousia
ASV_393			Dinophyceae				
ASV_400			Dinophyceae	Syndiniales			
ASV_415	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus
ASV_416		Haptophyta					
ASV_433		Picozoa	Picomonadea	Picomonadida			
ASV_442	Metazoa	Mollusca	Gastropoda	Nudibranchia	Tergipedidae	Tergipes	Tergipes tergipes
ASV_458			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium fulvescens
ASV_462			Cryptophyceae	Cryptomonadales			
ASV_465		Haptophyta		Prymnesiales			
ASV_468			Dinophyceae				
ASV_480	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	Membranipora	Membranipora membranacea
ASV_486		Picozoa	Picomonadea	Picomonadida	Picomonadidae	Picomonas	
ASV_489			Dinophyceae	Syndiniales			
ASV_508			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_515			Dinophyceae				
ASV_521	Viridiplantae	Chlorophyta	Trebouxiophyceae				
ASV_538			Dinophyceae	Syndiniales			
ASV_541		Ciliophora	Spirotrichea				
ASV_549			Dinophyceae				
ASV_556			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_558			Pelagophyceae	Sarcinochrysidales			
ASV_569			Dinophyceae				
ASV_577		Ciliophora	Spirotrichea				
ASV_579			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	Teleaulax amphioxeia
ASV_588		Picozoa	Picomonadea	Picomonadida	Picomonadidae	Picomonas	
ASV_589		Haptophyta		Prymnesiales			
ASV_595							
ASV_610		Haptophyta		Prymnesiales			
ASV_612			Dinophyceae				
ASV_621		Bacillariophyta	Mediophyceae				
ASV_630			Dinophyceae	Syndiniales			
ASV_633	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
