#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_9353			Dinophyceae				
ASV_9402			Bigyra	Thraustochytrida	Thraustochytriaceae		
ASV_9403	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus californianus
ASV_9404			Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa steinii
ASV_9405		Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Antithamnionella	
ASV_9406		Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	
ASV_9407		Ciliophora	Spirotrichea	Tintinnida	Xystonellidae	Parafavella	
ASV_9408			Dinophyceae				
ASV_9409			Bigyra				
ASV_9410		Cercozoa	Imbricatea	Marimonadida			
ASV_9411		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae		
ASV_9412			Dinophyceae				
ASV_9413			Dinophyceae				
ASV_9414			Bigyra				
ASV_9415			Bigyra	Thraustochytrida	Thraustochytriaceae		
ASV_9416		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	Pelagostrobilidium paraepacrum
ASV_9417		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_9418		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_9419			Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	
ASV_9420		Ciliophora	Nassophorea	Microthoracida	Discotrichidae		
ASV_9421		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_9422			Choanoflagellata				
ASV_9423		Haptophyta					
ASV_9424			Bigyra	Thraustochytrida	Thraustochytriaceae		
ASV_9425		Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	Guinardia delicatula
ASV_9426		Ciliophora	Spirotrichea				
ASV_9427			Acantharea				
ASV_9428		Bacillariophyta	Bacillariophyceae				
ASV_9429			Dinophyceae	Suessiales	Suessiaceae	Pelagodinium	Pelagodinium beii
ASV_9430			Dinophyceae				
ASV_9431	Metazoa	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus
ASV_9432		Ciliophora	Oligohymenophorea				
ASV_9433		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_9434		Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Melanothamnus	Melanothamnus harveyi
ASV_9435		Ciliophora	Spirotrichea	Euplotida	Aspidiscidae	Aspidisca	Aspidisca aculeata
ASV_9436			Bigyra				
ASV_9437		Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii
ASV_9438			Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax baltica
ASV_9439			Dinophyceae				
ASV_9440			Bigyra	Thraustochytrida	Thraustochytriaceae		
ASV_9441			Dictyochophyceae	Pedinellales			
ASV_9442			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_9443			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_9444		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_9445			Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax spinifera
ASV_9446			Bigyra	Nanomonadea			
ASV_9447			Cryptophyceae	Cryptomonadales			
ASV_9448		Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae		
ASV_9449			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_9450		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_9451			Dinophyceae				
ASV_9452			Chrysophyceae				
ASV_9453							
ASV_9454						Telonemia	
ASV_9455						Telonemia	
ASV_9456		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	
ASV_9457	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus
ASV_9458			Dinophyceae				
ASV_9459	Viridiplantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	Ulva laetevirens
ASV_9460			Dinophyceae				
ASV_9461		Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia delicatula
ASV_9462		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_9463		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_9464			Ichthyosporea				
ASV_9465			Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium trinitatum
ASV_9466		Ciliophora	Litostomatea	Cyclotrichida	Mesodiniidae	Askenasia	
ASV_9467			Bigyra				
ASV_9468			Dinophyceae				
ASV_9469			Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma eleuthera
ASV_9470		Ciliophora	Spirotrichea		Strombidiidae		
ASV_9471		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros danicus
ASV_9472		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_9473			Dinophyceae				
ASV_9474		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_9475		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_9476		Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
ASV_9477			Dinophyceae				
ASV_9478			Dinophyceae				
ASV_9479		Cercozoa	Imbricatea				
ASV_9480		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira anguste-lineata
ASV_9481		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_9482							
ASV_9483	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	
