,Davenport_02_0008,Davenport_06_0008,Davenport_11_0008,Davenport_15_0008,Davenport_19_0008,Framstrait_01_0008,Framstrait_05_0008,Framstrait_09_0008,Framstrait_13_0008,Framstrait_17_0008,Bedford_01_0049,Bedford_07_0049,Bedford_13_0049,Bedford_19_0049,Bedford_25_0049,Davenport_02_0049,Davenport_06_0049,Davenport_11_0049,Davenport_15_0049,Davenport_19_0049,Framstrait_01_0049,Framstrait_05_0049,Framstrait_09_0049,Framstrait_13_0049,Framstrait_17_0049,LaJolla_03_0049,LaJolla_09_0049,LaJolla_15_0049,LaJolla_21_0049,LaJolla_27_0049,Plymouth_06_0049,Plymouth_13_0049,Plymouth_19_0049,Plymouth_29_0049,Plymouth_30_0049
Bedford_19_0049,2.01389680524091,2.0055867384448436,2.105768459199611,2.2296899770693406,2.241466619444729,1.4193235592747742,1.383290978799972,1.175433252677614,1.3931171522473007,1.3301142002372632,0.32398004124652735,0.1554347721707272,0.11942143905447988,0.0,0.19659927878077807,2.338217008907465,2.390574486266763,2.417808808667666,2.283363136045344,2.350287728357088,1.4966743340789703,1.478827267771064,1.4647718806342631,1.4394048928090137,1.4401579076303261,1.9228478701190523,2.0012551433284913,1.7836273464180137,1.9274079244746745,1.9653458583735373,0.5746681413915257,0.5525043575965648,0.7138202408417403,0.6260747593231027,0.7232028333232425
Bedford_25_0049,2.1758547954826977,2.170174146336078,2.272276108137161,2.3871664409020386,2.40684581578442,1.392447191278363,1.3675707422527161,1.2005861232684407,1.3787650724432843,1.3284789324089057,0.20076298468322193,0.04731682972046075,0.1239339090441307,0.19659927878077807,0.0,2.483691420824095,2.5335375389116046,2.562006975037965,2.433977812664702,2.505716549636673,1.4440548515688159,1.419868183043898,1.4084113317802271,1.3819569126226428,1.380219398085622,2.0459085886897714,2.1265592852009925,1.9181592428639835,2.0523294714257507,2.0927984876741457,0.5808232118363453,0.5690300673557596,0.7209753681987808,0.6636110429721235,0.7565072562430775
Davenport_02_0049,0.5435915694772206,0.562737575273766,0.5262941791574057,0.33047519881429116,0.4474060202718309,2.552127435259729,2.5203884147151645,2.2396476218911134,2.522628071457257,2.427915526090944,2.6592008346572755,2.4586943363602383,2.401250566639673,2.338217008907465,2.483691420824095,0.0,0.07027387111532529,0.11108478853540803,0.10824750267728858,0.19726203132918232,2.6557150919342725,2.7213591300789473,2.754038287303486,2.672525174855447,2.7465576250152526,3.045593765588762,3.0788229550858746,2.816605681591886,3.0206309142357344,3.0483750458612158,2.5171674136619044,2.5401074622456252,2.7005975855282567,2.4845902855857918,2.461846018438422
Davenport_06_0049,0.5969408377883647,0.6193647479997227,0.5827687477131638,0.376610959687728,0.49903879204932333,2.577565590289142,2.547695172255122,2.271699793561384,2.5499172602907123,2.456437982511344,2.7106795812631037,2.509327476928696,2.4526345696692697,2.390574486266763,2.5335375389116046,0.07027387111532529,0.0,0.07044699411963612,0.17527126641842047,0.2432942392914917,2.6779665801234853,2.745190064573326,2.7795886968881933,2.696454372756529,2.7722115094224216,3.115281251139228,3.148647126318641,2.886156747252126,3.090290598570422,3.118293719637688,2.5716639047458902,2.595777913278239,2.7579646699417855,2.540903016674234,2.517347726288675
Davenport_11_0049,0.5792149176829549,0.6040467991494525,0.563166605225229,0.3473227083413464,0.473329982095921,2.5773780115485794,2.546214905462079,2.2712755551999626,2.547983295533705,2.4545180373512485,2.7379916234285377,2.537894378535402,2.482294238019589,2.417808808667666,2.562006975037965,0.11108478853540803,0.07044699411963612,0.0,0.19059621895654077,0.2267980594255553,2.6811822861250905,2.748745567209556,2.782046241991056,2.7008942508563,2.7757910035342803,3.141673890947416,3.1741903585437328,2.9135531010179414,3.1170005430428813,3.1429584045260017,2.611233977188915,2.63379315499866,2.7962795817013473,2.580680578433311,2.5599858275857263
Davenport_15_0049,0.45815236308957424,0.47093726870482444,0.42839373060624975,0.25123695539551777,0.35146992731176435,2.528616946871666,2.492974790308366,2.205093154965802,2.4949645228808057,2.398268646912817,2.6057307404075836,2.4076115185011386,2.349402485603652,2.283363136045344,2.433977812664702,0.10824750267728858,0.17527126641842047,0.19059621895654077,0.0,0.12446437242344134,2.639432925652102,2.7025876533854474,2.7317177165077426,2.654156249112915,2.7247335026192583,2.9521975453380485,2.984348935942115,2.7240319435036677,2.9273267280917388,2.953365479937856,2.464078333380945,2.484066437876625,2.6412530366615994,2.4281109177472473,2.408126855733085
Davenport_19_0049,0.44539994562641655,0.4533520320404957,0.38467383978296915,0.2070351208094363,0.27340911214408503,2.587501516721982,2.5481595153529097,2.2578479229082347,2.5494273367728884,2.4517371725544663,2.673362568184267,2.4783684713529115,2.420373429755272,2.350287728357088,2.505716549636673,0.19726203132918232,0.2432942392914917,0.2267980594255553,0.12446437242344134,0.0,2.7060586845920374,2.7683744313016043,2.794356035028937,2.721241075290155,2.7889983457422587,2.9627694424583577,2.991799267796401,2.7364336770517084,2.9377129223229814,2.9601684582055308,2.538580203633845,2.5552358795228174,2.7088831373163256,2.499366975257174,2.482636376123783
Framstrait_01_0049,2.3625727529208707,2.3875318587964625,2.5008712790779657,2.5483860818385047,2.6264958320629153,0.23294941845078654,0.3378850142186862,0.6046111299973604,0.34935757853000726,0.42526419235358376,1.526610632505106,1.4734906766175022,1.522003779076692,1.4966743340789703,1.4440548515688159,2.6557150919342725,2.6779665801234853,2.6811822861250905,2.639432925652102,2.7060586845920374,0.0,0.09243042533199111,0.18028354559361418,0.07660848597026604,0.16876992196452775,3.333544052696362,3.403941281584953,3.1952624757808965,3.3402081227257825,3.358996295878774,1.995850139422358,2.0013459025217255,2.164324620462567,2.0805176657029443,2.14948007468675
Framstrait_05_0049,2.4185679453435927,2.442058936212385,2.555704894343991,2.6092192533646483,2.6835012664432156,0.24568538870158568,0.34040938297872936,0.6224032667775841,0.35158139055768706,0.43614037846454146,1.4914609486057726,1.4504762421297623,1.5027840406676534,1.478827267771064,1.419868183043898,2.7213591300789473,2.745190064573326,2.748745567209556,2.7025876533854474,2.7683744313016043,0.09243042533199111,0.0,0.1011522378102323,0.059321963367092556,0.08250672955002002,3.3111227232982414,3.38182535438659,3.178078605589763,3.3188652664395617,3.3368073637113715,1.9792181676915301,1.9821787851103287,2.139788116639271,2.065219883533677,2.1378576708086126
Framstrait_09_0049,2.4343035071888885,2.4563894287133494,2.5699512060176577,2.631132552076218,2.7001727908165676,0.2283576138818081,0.30192848472439154,0.6006373727240903,0.31097808946219263,0.4036567815354349,1.4695527492213738,1.4383573081660397,1.4928394645422671,1.4647718806342631,1.4084113317802271,2.754038287303486,2.7795886968881933,2.782046241991056,2.7317177165077426,2.794356035028937,0.18028354559361418,0.1011522378102323,0.0,0.14302856833521746,0.0453359117876984,3.2731460063747124,3.3430795877104025,3.144625085491436,3.281841936698645,3.2972759365241675,1.9761108653827375,1.974671422439374,2.127249512382173,2.0601851241698728,2.1379153839840304
